,Date,Open,High,Low,Close,Volume,Adj Close,Years Since 2009,Daily Avg,Daily Range
166,2009-05-06,406.790688,408.28069,401.000685,403.470698,5285400,201.533815,0.342465753425,404.6406875,7.280005
167,2009-05-05,399.9807,405.000706,397.250682,402.990694,4819500,201.294053,0.339726027397,401.125694,7.750024
168,2009-05-04,398.170685,402.400691,394.790686,401.980695,6430000,200.789558,0.33698630137,398.5956885,7.610005
169,2009-05-01,395.030688,397.590667,391.550677,393.69066,4873500,196.648681,0.328767123288,394.570672,6.03999
170,2009-04-30,395.76068,403.750705,394.800672,395.970693,8744000,197.787559,0.32602739726,399.2756885,8.950033
171,2009-04-29,385.970656,394.97068,385.830668,391.470666,7247000,195.539793,0.323287671233,390.400674,9.140012
172,2009-04-28,383.750662,389.050675,381.540654,383.710657,5909100,191.663665,0.320547945206,385.2956645,7.510021
173,2009-04-27,384.340665,389.490673,382.750649,385.950654,4598200,192.782544,0.317808219178,386.120661,6.740024
174,2009-04-24,386.050667,393.180668,380.500666,389.490673,6796100,194.550786,0.309589041096,386.840667,12.680002
175,2009-04-23,387.51065,389.750678,381.110642,384.690667,5237500,192.15318,0.306849315069,385.43066,8.640036
176,2009-04-22,381.750667,390.000666,379.010664,383.860662,7029800,191.738592,0.304109589041,384.505665,10.990002
177,2009-04-21,376.170647,384.30066,376.100652,381.47066,7418400,190.544785,0.301369863014,380.200656,8.200008
178,2009-04-20,386.15065,390.650677,375.890639,379.300657,8890900,189.460868,0.298630136986,383.270658,14.760038
179,2009-04-17,386.020648,399.820678,384.810652,392.240663,21541900,195.924407,0.290410958904,392.315665,15.010026
180,2009-04-16,381.500648,392.90066,381.020645,388.740679,20446400,194.176163,0.287671232877,386.9606525,11.880015
181,2009-04-15,367.100629,381.06065,364.160629,379.500653,9898300,189.560766,0.284931506849,372.6106395,16.900021
182,2009-04-14,376.940644,376.990635,365.60064,368.910644,6882800,184.271051,0.282191780822,371.2956375,11.389995
183,2009-04-13,371.330635,379.10066,370.300633,378.110634,6123000,188.86645,0.279452054795,374.7006465,8.800027
184,2009-04-09,369.500647,374.350645,366.250621,372.500625,6790400,186.064248,0.268493150685,370.300633,8.100024
185,2009-04-08,363.500631,365.00062,356.210609,362.000612,5551000,180.819487,0.265753424658,360.6056145,8.790011
186,2009-04-07,362.600632,363.750619,355.31061,358.650603,7387700,179.146155,0.26301369863,359.5306145,8.440009
187,2009-04-06,367.000615,369.820629,361.400623,368.24063,6585100,183.936379,0.260273972603,365.610626,8.420006
